incident_number,count
TIX00599178,1
TIX00550070,1
TIX00565771,2
TIX00428018,2
TIX00433291,1
TIX00573278,1
TIX00562290,2
TIX00422910,8
TIX00569956,1
TIX00374952,2
TIX00456843,1
TIX00350617,2
TIX00581036,2
TIX00435753,1
TIX00398790,1
TIX00586421,1
TIX00421171,1
TIX00392603,2
TIX00612825,2
TIX00509384,1
TIX00544733,1
TIX00599850,1
TIX00333001,1
TIX00514769,1
TIX00434481,1
TIX00501895,10
TIX00525719,3
TIX00556034,1
TIX00327815,2
TIX00436870,1
TIX00509722,1
TIX00583120,1
TIX00335996,1
TIX00558938,1
TIX00393997,1
TIX00601695,1
TIX00357557,1
TIX00328744,1
TIX00535864,1
TIX00617457,1
TIX00337702,1
TIX00595578,8
TIX00504825,1
TIX00537852,1
TIX00604743,1
TIX00521744,1
TIX00516059,1
TIX00378110,2
TIX00624927,1
TIX00524356,1
TIX00527562,1
TIX00613935,1
TIX00506997,1
TIX00454856,1
TIX00336159,1
TIX00342966,1
TIX00512586,1
TIX00546367,1
TIX00548840,1
TIX00504532,6
TIX00431031,4
TIX00391996,1
TIX00394656,1
TIX00509650,1
TIX00399940,2
TIX00522517,12
TIX00337324,1
TIX00545728,1
TIX00524588,1
TIX00336161,1
TIX00342941,2
TIX00432297,1
TIX00342357,1
TIX00532151,1
TIX00324439,1
TIX00310776,1
TIX00347288,1
TIX00402820,1
TIX00588068,1
TIX00511417,1
TIX00617082,2
TIX00584762,1
TIX00565582,1
TIX00439876,1
TIX00390319,1
TIX00446914,1
TIX00574520,1
TIX00520602,2
TIX00525222,1
TIX00428652,1
TIX00556165,1
TIX00407875,1
TIX00611987,3
TIX00559392,1
TIX00579602,1
TIX00388964,1
TIX00521704,1
TIX00364099,2
TIX00572795,1
TIX00596919,1
TIX00375296,2
TIX00568074,1
TIX00540998,2
TIX00450987,1
TIX00611551,1
TIX00420372,1
TIX00341048,1
TIX00361135,1
TIX00550793,1
TIX00530990,1
TIX00398722,2
TIX00372093,2
TIX00592687,1
TIX00358011,1
TIX00393518,1
TIX00356851,1
TIX00440973,2
TIX00379436,1
TIX00424636,1
TIX00522388,1
TIX00622239,1
TIX00342538,1
TIX00543755,1
TIX00558295,1
TIX00435595,1
TIX00527786,1
TIX00556652,1
TIX00568852,2
TIX00420535,1
TIX00598017,1
TIX00522670,1
TIX00604371,2
TIX00341524,1
TIX00329973,1
TIX00578836,1
TIX00447958,1
TIX00600458,1
TIX00437553,9
