Tenant Name,Test Case Id,Scripts,Execution Time,Result,Errors/Message,Individual Results,Group,Module,Category
tjx,ITSA_FUNCTIONAL_55,[POST] f_change_task_opened_on_key_mysql.sql,0.22 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_56,[POST] f_change_task_row_id_mysql.sql,0.2 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_57,[POST] d_change_task_sys_created_by_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.created_by' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_58,[POST] d_change_task_state_src_key_mysql.sql,0.4 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_59,[POST] d_change_task_impact_src_code_mysql.sql,0.21 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_60,[POST] d_change_task_urgency_src_key_mysql.sql,0.37 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_61,[POST] f_change_task_parent_age_at_closure_mysql.sql,0.14 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_62,[POST] f_change_task_state_src_key_mysql.sql,0.4 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_63,[POST] d_change_task_soft_deleted_flag_mysql.sql,0.02 sec,FAILURE,[Error] [Post Script] Table 'tjx_mdsdb.change_task_bwd_delta' doesn't exist,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_64,[POST] f_change_task_company_key_mysql.sql,0.26 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_65,[POST] d_change_task_priority_src_key_mysql.sql,0.42 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_66,[POST] f_change_task_sys_updated_by_mysql.sql,0.02 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.changed_by' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_67,[POST] f_change_task_location_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.location_id' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_68,[POST] f_change_task_changed_on_mysql.sql,0.15 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_69,[POST] d_change_task_reported_type_src_key_mysql.sql,0.56 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_70,[POST] f_change_task_created_by_mysql.sql,0.23 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_71,[POST] d_change_task_source_url_mysql.sql,5 min 17 sec,FAILURE,[Error] MDS to DWH data validation failed for d_task.source_url,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_72,[POST] d_change_task_state_count_mysql.sql,0.02 sec,SUCCESS,[Error] [Post Script] Table 'tjx_mdwdb.f_change_task_activity' doesn't exist,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_73,[POST] d_change_task_priority_src_code_mysql.sql,0.02 sec,FAILURE,[Error] [Post Script] Unknown column 'TRGT.prioty_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_74,[POST] d_change_task_upon_reject_src_code_mysql.sql,0.21 sec,SUCCESS,[Message] SUCCESS,,,,
