acctname,N,N,accountname,Y,,us_netsuite_account_classification_delta,2,account_delta,netsuite,NATURAL_ACCOUNT,acctnumber,internalid
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "REVIEW_STATUS~CHANGE_REQUEST" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "REVIEW_STATUS~CHANGE_REQUEST" and enable_flag = "Y") and language="en",us_change_request_map_delta,2,sys_choice_delta,servicenow,REVIEW_STATUS~CHANGE_REQUEST,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "SEVERITY~INCIDENT" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "SEVERITY~INCIDENT" and enable_flag = "Y") and language="en",us_incident_map_delta,2,sys_choice_delta,servicenow,SEVERITY~INCIDENT,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STAGE~SC_REQ_ITEM" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STAGE~SC_REQ_ITEM" and enable_flag = "Y") and language="en",us_sc_req_item_map_delta,2,sys_choice_delta,servicenow,STAGE~SC_REQ_ITEM,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STAGE~SC_REQUEST" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STAGE~SC_REQUEST" and enable_flag = "Y") and language="en",us_sc_request_map_delta,2,sys_choice_delta,servicenow,STAGE~SC_REQUEST,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STAGE~TASK_SLA" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STAGE~TASK_SLA" and enable_flag = "Y") and language="en",us_task_sla_map_delta,2,sys_choice_delta,servicenow,STAGE~TASK_SLA,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STATE~CHANGE_REQUEST" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STATE~CHANGE_REQUEST" and enable_flag = "Y") and language="en",us_change_request_map_delta,2,sys_choice_delta,servicenow,STATE~CHANGE_REQUEST,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STATE~HR_CHANGE" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STATE~HR_CHANGE" and enable_flag = "Y") and language="en",us_hr_change_map_delta,2,sys_choice_delta,servicenow,STATE~HR_CHANGE,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STATE~INCIDENT" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STATE~INCIDENT" and enable_flag = "Y") and language="en",us_incident_map_delta,2,sys_choice_delta,servicenow,STATE~INCIDENT,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STATE~PROBLEM" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STATE~PROBLEM" and enable_flag = "Y") and language="en",us_problem_map_delta,2,sys_choice_delta,servicenow,STATE~PROBLEM,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STATE~TASK" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STATE~TASK" and enable_flag = "Y") and language="en",us_task_map_delta,2,sys_choice_delta,servicenow,STATE~TASK,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "STATE~TIME_CARD" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "STATE~TIME_CARD" and enable_flag = "Y") and language="en",us_time_card_map_delta,2,sys_choice_delta,servicenow,STATE~TIME_CARD,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "TYPE~OUTAGE" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "TYPE~OUTAGE" and enable_flag = "Y") and language="en",us_outage_lov_map_delta,2,sys_choice_delta,servicenow,TYPE~OUTAGE,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "TYPE~QUESTION" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "TYPE~QUESTION" and enable_flag = "Y") and language="en",us_question_map_delta,2,sys_choice_delta,servicenow,TYPE~QUESTION,label,sys_id
value,N,N,dimension_code,Y,element =(select column_value from _workdb.lsm_ls_system_variables where class_value = "URGENCY~TASK" and enable_flag = "Y") AND name = (select table_value from _workdb.lsm_ls_system_variables where class_value = "URGENCY~TASK" and enable_flag = "Y") and language="en",us_task_map_delta,2,sys_choice_delta,servicenow,URGENCY~TASK,label,sys_id
