name,Sys_class_name,Class1,Class2,Class3,LOV_Hardwware_Status,HARDWARE_STATUS_FLAG,CNT
5cg9023gzh-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023hr3-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9024238-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9024268-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg902726p-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90272ck-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90272g5-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg902739x-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90273k5-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90273nr-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
