name,Sys_class_name,Class1,Class2,Class3,LOV_Hardwware_Status,HARDWARE_STATUS_FLAG,CNT
5cg85226bg-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226f8-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226gg-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226hp-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226jh-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226l7-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226lq-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226ly-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226mb-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226t6-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226v8-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226vx-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226xf-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226xy-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85226z5-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85227qn-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8522n3q-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8522n4j-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8522n6h-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523k49-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523k5l-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523k6k-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523sf6-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523sfp-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523shm-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523shv-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523sp8-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523ss6-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523ssf-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523ssr-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523ssz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523t1w-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523t38-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523t46-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523t55-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523tcw-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523tj8-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523xyd-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523xzv-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523y2f-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523y3h-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523y61-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523ydj-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523yfz-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523ymb-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523ynv-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523yr2-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523ysl-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523yvh-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523yzl-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523z0m-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg8523z3h-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
